"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2019-04-06"
"68","i love you","Billie Eilish","1260944","https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc","2019-04-06"
"69","Robbery","Juice WRLD","1242817","https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ","2019-04-06"
"70","Un Año","Sebastian Yatra","1237744","https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp","2019-04-06"
"71","rockstar (feat. 21 Savage)","Post Malone","1231963","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2019-04-06"
"72","Ella Quiere Beber - Remix","Anuel Aa","1229254","https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw","2019-04-06"
"73","Look Back At It","A Boogie Wit da Hoodie","1228785","https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8","2019-04-06"
"74","Mixed Personalities (feat. Kanye West)","YNW Melly","1217453","https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL","2019-04-06"
"75","Thotiana","Blueface","1213736","https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G","2019-04-06"
"76","Girls Like You (feat. Cardi B)","Maroon 5","1213592","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2019-04-06"
"77","So Am I","Ava Max","1199221","https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7","2019-04-06"
"78","Racks In The Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle","1192267","https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp","2019-04-06"
"79","Au DD","PNL","1177658","https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu","2019-04-06"
"80","Be Alright","Dean Lewis","1175945","https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k","2019-04-06"
"81","Esclavo de Tus Besos","Manuel Turizo","1164122","https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX","2019-04-06"
"82","listen before i go","Billie Eilish","1150537","https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE","2019-04-06"
"83","Bad Luck","Khalid","1136493","https://open.spotify.com/track/2vsuel3g4zaLYSOY0mOMbi","2019-04-06"
"84","a lot","21 Savage","1121829","https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d","2019-04-06"
"85","Lucid Dreams","Juice WRLD","1121232","https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR","2019-04-06"
"86","SAD!","XXXTENTACION","1110141","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2019-04-06"
"87","Bad Liar","Imagine Dragons","1092442","https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3","2019-04-06"
"88","Contra La Pared","Sean Paul","1077602","https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp","2019-04-06"
"89","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1070525","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2019-04-06"
"90","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1066681","https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA","2019-04-06"
"91","8","Billie Eilish","1065696","https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r","2019-04-06"
"92","Don't Stop Me Now - Remastered","Queen","1049109","https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7","2019-04-06"
"93","Moonlight","XXXTENTACION","1039449","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2019-04-06"
"94","Youngblood","5 Seconds of Summer","1027903","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2019-04-06"
"95","In My Mind","Dynoro","1024522","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2019-04-06"
"96","Another One Bites The Dust - Remastered 2011","Queen","1024201","https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7","2019-04-06"
"97","Shape of You","Ed Sheeran","1017043","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2019-04-06"
"98","Mo Bamba","Sheck Wes","1016990","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2019-04-06"
"99","Always Remember Us This Way","Lady Gaga","1013511","https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk","2019-04-06"
"100","Right Back","Khalid","1008954","https://open.spotify.com/track/5A1w94uzc1kO1Zhe8WWxC3","2019-04-06"
"101","Paradise","Bazzi","1002361","https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG","2019-04-06"
"102","ZEZE (feat. Travis Scott & Offset)","Kodak Black","1001653","https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z","2019-04-06"
"103","Promises (with Sam Smith)","Calvin Harris","997559","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2019-04-06"
"104","Just You and I","Tom Walker","991230","https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo","2019-04-06"
"105","Adictiva","Daddy Yankee","981701","https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP","2019-04-06"
"106","Walk Me Home","P!nk","979933","https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE","2019-04-06"
"107","I Like It","Cardi B","976156","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2019-04-06"
"108","Say My Name","David Guetta","969011","https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6","2019-04-06"
"109","Believer","Imagine Dragons","966801","https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP","2019-04-06"
"110","Aullando","Wisin & Yandel","963931","https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus","2019-04-06"
"111","Free Spirit","Khalid","954964","https://open.spotify.com/track/2kAIpGWnlFLQh48iut6Zzq","2019-04-06"
"112","Faucet Failure","Ski Mask The Slump God","953663","https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN","2019-04-06"
"113","Soltera","Lunay","952553","https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM","2019-04-06"
"114","Cherry Lady","Capital Bra","945324","https://open.spotify.com/track/3r1cV21xPMkgCmxk8VqWOB","2019-04-06"
"115","Tal Vez","Paulo Londra","944145","https://open.spotify.com/track/46lvmzK8wxAy66tjzXXSh0","2019-04-06"
"116","2002","Anne-Marie","931734","https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo","2019-04-06"
"117","Self","Khalid","925472","https://open.spotify.com/track/1WqLtczgKdbHFHhefOU0y7","2019-04-06"
"118","Harami","Samra","922811","https://open.spotify.com/track/5xIODxqlpUnRVA9ewZUCug","2019-04-06"
"119","Si Se Da","Myke Towers","921672","https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ","2019-04-06"
"120","Taste (feat. Offset)","Tyga","921212","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2019-04-06"
"121","Body (feat. brando)","Loud Luxury","906002","https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs","2019-04-06"
"122","Wake Up in the Sky","Gucci Mane","899925","https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud","2019-04-06"
"123","idontwannabeyouanymore","Billie Eilish","897114","https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu","2019-04-06"
