,Artist,api_artist,api_url,artist_api_id,genres
435,Cliff Richard,Cliff Richard,https://open.spotify.com/artist/2nvKpWcP8etYTq4JrRiUiy,2nvKpWcP8etYTq4JrRiUiy,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'mellow gold', 'merseybeat', 'new wave pop', 'rock-and-roll', 'rockabilly', 'soft rock']"
436,Thurl Ravenscroft,,,,
437,Kay Starr,Kay Starr,https://open.spotify.com/artist/7rpf45DdbpweG51Acze45i,7rpf45DdbpweG51Acze45i,"['adult standards', 'big band', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'swing', 'vocal jazz']"
438,Nat King Cole Trio,Nat King Cole Trio,https://open.spotify.com/artist/3OpnoUqoRIHWbsFs4Nw0NQ,3OpnoUqoRIHWbsFs4Nw0NQ,"['adult standards', 'lounge', 'swing', 'vocal jazz']"
439,Mud,,,,
440,Lou Monte,Lou Monte,https://open.spotify.com/artist/7dbKeVkihtOifdiu7f3rUg,7dbKeVkihtOifdiu7f3rUg,[]
441,Peggy Lee,Peggy Lee,https://open.spotify.com/artist/602DnpaSXJB4b9DZrvxbDc,602DnpaSXJB4b9DZrvxbDc,"['adult standards', 'big band', 'lounge', 'swing', 'vocal jazz']"
442,The Platters,The Platters,https://open.spotify.com/artist/6KWcxMWVNVIYbdOQyJtsSy,6KWcxMWVNVIYbdOQyJtsSy,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
443,Quality Control,Quality Control,https://open.spotify.com/artist/6i392l38cR3uBPF0DbNs7S,6i392l38cR3uBPF0DbNs7S,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
444,Zac Efron,Zac Efron,https://open.spotify.com/artist/6U1dBXJhC8gXFjamvFTmHg,6U1dBXJhC8gXFjamvFTmHg,"['hollywood', 'post-teen pop', 'show tunes']"
445,Keala Settle,Keala Settle,https://open.spotify.com/artist/7HV2RI2qNug4EcQqLbCAKS,7HV2RI2qNug4EcQqLbCAKS,"['broadway', 'hollywood', 'show tunes']"
446,Juan MagÃ¡n,,,,
447,Hugh Jackman,,,,
448,OutKast,OutKast,https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7,1G9G7WwrXka3Z1r7aIDjI7,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
449,Bee Gees,Bee Gees,https://open.spotify.com/artist/1LZEQNv7sE11VDY3SdxQeN,1LZEQNv7sE11VDY3SdxQeN,"['disco', 'mellow gold', 'soft rock']"
450,Shaggy,Shaggy,https://open.spotify.com/artist/5EvFsr3kj42KNv97ZEnqij,5EvFsr3kj42KNv97ZEnqij,"['dance pop', 'pop rap', 'reggae fusion']"
